
============================
 Flower Shop Server Started
============================
[2023-05-31T13:17:22.902469] Class: PSK.FlowerShop.configurations.ModelMapperConfig, Method: modelMapper
[2023-05-31T13:17:24.571467300] Class: PSK.FlowerShop.configurations.CorsConfig, Method: addCorsMappings

============================
 Flower Shop Server Started
============================
[2023-05-31T13:17:53.254675100] Class: PSK.FlowerShop.configurations.ModelMapperConfig, Method: modelMapper
[2023-05-31T13:17:53.953814500] Class: PSK.FlowerShop.configurations.CorsConfig, Method: addCorsMappings
[2023-05-31T13:18:00.991098800] Class: PSK.FlowerShop.controller.AdminController, Method: createAdmin
[2023-05-31T13:18:01.003066400] Class: PSK.FlowerShop.service.AdminService, Method: createAdmin
[2023-05-31T13:18:01.004064500] Class: org.springframework.data.repository.CrudRepository, Method: save
[2023-05-31T13:18:20.211037200] Class: PSK.FlowerShop.Seeders.ProductSeeder, Method: seedProducts
[2023-05-31T13:18:42.048607900] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:18:42.049605300] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:18:42.050605400] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:18:42.164605] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:18:42.165603700] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:18:42.165603700] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:18:42.168604600] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:18:42.169603600] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:18:42.170603200] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:18:42.192602600] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:18:42.193603800] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:18:42.193603800] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:18:42.194603100] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:18:42.194603100] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:18:42.195602900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:18:42.211602200] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:18:42.212601700] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:18:42.212601700] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:19:29.205192] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:19:29.205192] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:19:29.206190700] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:19:29.220191700] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:19:29.221192100] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
